AccX1,AccY1,AccZ1,GyrX1,GyrY1,GyrZ1,AccX2,AccY2,AccZ2,GyrX2,GyrY2,GyrZ2,AccX3,AccY3,AccZ3,GyrX3,GyrY3,GyrZ3,AccX4,AccY4,AccZ4,GyrX4,GyrY4,GyrZ4,AccX5,AccY5,AccZ5,GyrX5,GyrY5,GyrZ5,AccX6,AccY6,AccZ6,GyrX6,GyrY6,GyrZ6,AccX7,AccY7,AccZ7,GyrX7,GyrY7,GyrZ7,AccX8,AccY8,AccZ8,GyrX8,GyrY8,GyrZ8,AccX9,AccY9,AccZ9,GyrX9,GyrY9,GyrZ9,AccX10,AccY10,AccZ10,GyrX10,GyrY10,GyrZ10,AccX11,AccY11,AccZ11,GyrX11,GyrY11,GyrZ11,AccX12,AccY12,AccZ12,GyrX12,GyrY12,GyrZ12,AccX13,AccY13,AccZ13,GyrX13,GyrY13,GyrZ13,AccX14,AccY14,AccZ14,GyrX14,GyrY14,GyrZ14,AccX15,AccY15,AccZ15,GyrX15,GyrY15,GyrZ15,AccX16,AccY16,AccZ16,GyrX16,GyrY16,GyrZ16,AccX17,AccY17,AccZ17,GyrX17,GyrY17,GyrZ17,AccX18,AccY18,AccZ18,GyrX18,GyrY18,GyrZ18,AccX19,AccY19,AccZ19,GyrX19,GyrY19,GyrZ19,AccX20,AccY20,AccZ20,GyrX20,GyrY20,GyrZ20,AccX21,AccY21,AccZ21,GyrX21,GyrY21,GyrZ21,AccX22,AccY22,AccZ22,GyrX22,GyrY22,GyrZ22,AccX23,AccY23,AccZ23,GyrX23,GyrY23,GyrZ23,AccX24,AccY24,AccZ24,GyrX24,GyrY24,GyrZ24,AccX25,AccY25,AccZ25,GyrX25,GyrY25,GyrZ25,AccX26,AccY26,AccZ26,GyrX26,GyrY26,GyrZ26,AccX27,AccY27,AccZ27,GyrX27,GyrY27,GyrZ27,AccX28,AccY28,AccZ28,GyrX28,GyrY28,GyrZ28,AccX29,AccY29,AccZ29,GyrX29,GyrY29,GyrZ29,AccX30,AccY30,AccZ30,GyrX30,GyrY30,GyrZ30,Label
1530,-382,-1235,-233,68,-978,1899,-545,-1260,-230,482,-108,1081,-111,-624,-233,-511,-520,678,-130,-1029,-233,70,289,498,-212,-897,-235,-43,130,516,-265,-843,-236,-172,9,309,-206,-708,-232,281,-150,216,-174,-726,-236,34,-7,221,-234,-670,-235,-108,-262,14,-127,-842,-233,-71,-111,99,-262,-777,-235,99,24,31,-255,-724,-233,-9,100,178,-234,-716,-235,18,-38,38,-250,-739,-233,-38,-13,95,-235,-794,-235,-38,-16,120,-234,-756,-233,18,41,131,-225,-716,-235,-18,-19,100,-254,-738,-233,-63,-45,143,-220,-763,-233,-48,-23,87,-222,-728,-233,-13,16,115,-220,-769,-232,-9,-6,135,-235,-738,-230,-14,11,100,-232,-779,-235,-24,0,144,-233,-753,-235,-22,-6,91,-216,-765,-236,-25,6,105,-227,-750,-232,-9,-13,135,-204,-761,-236,-11,21,147,-235,-769,-232,-17,-26,134,-225,-775,-233,-6,0,118,-228,-770,-235,-21,-26,fall
-1300,-322,-669,-236,-825,2232,-644,-21,416,-241,-391,2684,1685,589,-543,-236,109,417,1607,-191,-39,-235,546,-872,1155,95,-616,-240,214,-1155,1028,-267,-692,-241,-77,-461,660,-72,-1002,-236,-230,-5,639,-150,-898,-238,-47,98,570,-78,-710,-240,54,70,474,-138,-612,-238,164,18,390,-104,-720,-240,21,-123,416,-198,-782,-238,-73,-1,417,-205,-764,-236,10,-91,343,-207,-697,-238,-17,-25,398,-203,-753,-240,22,-23,416,-207,-735,-238,-55,-52,341,-276,-716,-236,13,9,276,-167,-718,-238,3,-81,370,-239,-694,-236,-24,-72,370,-260,-728,-238,11,-59,277,-236,-698,-240,-52,-4,314,-244,-712,-238,-47,-79,292,-266,-747,-240,-59,-53,344,-256,-741,-243,-44,-24,306,-214,-760,-240,-28,-37,347,-230,-740,-238,-27,-17,320,-209,-691,-240,-56,5,338,-203,-768,-235,-75,-46,279,-208,-751,-240,0,-15,298,-269,-698,-238,-33,-83,fall
-2476,-841,-2176,-393,-659,2376,-1652,160,872,-395,235,3276,1149,-94,-180,-392,833,1756,427,-106,-1031,-393,-255,-1552,1904,-746,-1112,-388,524,-910,242,-344,-1046,-393,-382,568,330,-468,-239,-392,-20,265,393,-345,-527,-392,45,-296,230,-493,-872,-393,11,-20,151,-477,-842,-395,0,-23,132,-429,-530,-390,-37,-129,177,-409,-632,-392,-23,-44,144,-458,-719,-390,-13,-35,198,-464,-664,-392,10,-18,222,-442,-713,-390,-4,-30,215,-486,-701,-392,-17,1,221,-464,-721,-393,-18,-17,233,-464,-712,-393,-29,-12,191,-444,-691,-392,-26,-8,206,-463,-711,-392,-44,-38,208,-468,-716,-388,-22,-8,206,-442,-704,-393,-22,0,212,-464,-716,-392,-15,0,220,-458,-696,-393,-18,8,213,-450,-712,-392,-21,-9,222,-460,-698,-390,-21,-2,201,-457,-699,-388,-30,3,214,-454,-704,-390,-14,-4,214,-440,-700,-392,-32,-6,178,-454,-683,-390,-30,8,fall
-3017,-403,-1860,-388,26,2033,-2690,-999,-714,-392,-85,3276,-972,138,826,-387,-207,3152,751,-207,222,-388,608,1347,311,-67,-584,-387,-264,-283,3276,-406,-2300,-390,-479,3276,429,-1968,1264,-388,1650,1521,2046,-456,-794,-387,-300,-1094,440,-316,-234,-388,20,-379,436,-414,-883,-392,-34,-264,400,-523,-785,-390,-36,-155,478,-426,-552,-392,-13,3,518,-378,-594,-390,-12,-34,477,-430,-565,-388,4,35,480,-449,-684,-387,24,13,502,-444,-626,-388,-41,59,528,-444,-598,-387,-27,1,513,-433,-623,-388,-24,54,551,-459,-688,-387,-9,6,540,-417,-636,-388,-41,1,548,-396,-630,-390,7,-18,514,-437,-652,-392,-33,-14,526,-437,-606,-387,-30,-18,543,-392,-605,-387,-23,-17,571,-413,-685,-392,-33,-35,603,-389,-652,-387,-6,-11,540,-417,-670,-388,0,-33,579,-413,-688,-387,-25,-32,580,-380,-676,-388,-17,-64,517,-400,-590,-390,-52,-53,fall
1257,-274,-250,-379,314,504,1210,-504,-1339,-382,-82,-1083,1462,-395,-1766,-384,105,964,639,-180,-737,-382,-89,-48,270,-313,-346,-387,-18,69,513,-415,-898,-384,156,-160,461,-368,-869,-385,-44,288,540,-355,-566,-382,49,-24,497,-365,-594,-385,-51,-17,484,-394,-754,-380,-58,54,501,-371,-692,-385,-55,-42,485,-374,-586,-387,-48,19,517,-348,-641,-385,-49,17,536,-337,-713,-387,-15,12,538,-335,-654,-385,9,-9,498,-330,-625,-382,-12,6,529,-360,-695,-384,3,3,520,-376,-691,-382,-15,-5,530,-348,-641,-384,-22,-33,546,-338,-682,-385,-22,-24,516,-347,-641,-384,-17,15,528,-342,-679,-382,-42,-14,510,-354,-670,-380,-44,-7,524,-352,-665,-385,-21,-7,500,-346,-682,-384,-27,6,520,-348,-672,-382,-18,-39,542,-358,-678,-384,1,80,488,-336,-652,-384,-15,-35,469,-357,-624,-385,-10,-19,523,-348,-662,-382,-14,-31,fall
-2474,-775,-2472,-380,198,2146,-2550,-374,-305,-380,181,3220,-829,0,527,-379,107,3144,825,-86,124,-380,590,1362,700,-52,-1241,-379,-516,-1267,2156,-1215,-226,-380,621,285,707,-368,-773,-382,0,400,377,-601,-119,-379,-170,-94,697,-586,-724,-384,10,-237,356,-583,-908,-382,-12,-391,586,-509,-750,-384,-70,412,457,-420,-463,-382,-67,-35,553,-430,-612,-384,-27,2,526,-428,-654,-385,-26,11,544,-437,-627,-384,25,38,580,-422,-628,-382,-10,50,616,-458,-635,-382,1,10,565,-445,-620,-384,-34,-51,553,-458,-596,-379,-44,14,605,-470,-571,-380,-8,-49,570,-442,-595,-379,-5,-40,554,-442,-621,-377,-16,-9,583,-448,-610,-379,-9,42,594,-466,-620,-380,-28,39,574,-450,-575,-379,-25,-26,579,-453,-640,-380,-46,-32,619,-437,-652,-379,-40,45,554,-442,-603,-379,-3,0,586,-457,-615,-382,-24,15,584,-441,-601,-379,-51,-51,fall
-299,-153,858,-374,-58,32,-165,18,426,-376,-152,464,-2604,-1420,-3276,-374,102,3276,-1697,-182,-562,-377,557,3276,952,-246,-51,-379,1135,1289,873,-430,-150,-377,-1285,-812,1439,-315,-572,-379,-417,-613,1874,-691,-1682,-379,96,417,310,-583,-818,-377,379,174,406,-704,-71,-379,32,-604,462,-662,-621,-377,-29,196,508,-535,-513,-379,27,-289,517,-654,-607,-377,-18,191,459,-645,-294,-379,-215,-279,451,-556,-666,-377,-27,-45,474,-570,-633,-376,31,15,451,-559,-642,-376,-5,-58,469,-562,-636,-377,59,-12,467,-589,-615,-376,-10,7,522,-624,-595,-377,19,225,554,-560,-623,-376,26,2,474,-626,-594,-380,1,-24,491,-574,-559,-379,25,-15,462,-595,-548,-377,-40,-6,466,-577,-623,-376,0,-2,494,-600,-571,-374,-21,-10,508,-587,-596,-376,-19,-16,478,-609,-603,-377,-22,21,500,-620,-600,-376,-49,16,501,-588,-602,-377,-20,-6,fall
-3276,980,-2386,-369,517,1263,-1296,-1633,1684,-372,1036,3276,337,-231,-62,-374,2426,519,971,-1339,348,-372,-762,-232,1286,-1601,598,-374,501,1078,869,-1331,-862,-372,-260,-275,674,-930,-178,-372,309,353,468,-1399,48,-372,-2740,-1615,494,-768,-351,-372,-289,-389,439,-900,-629,-371,-180,2,478,-778,-523,-372,-51,-76,558,-745,-487,-371,-14,-116,483,-716,-488,-371,-89,-55,505,-744,-518,-372,-20,35,513,-744,-582,-369,-3,7,527,-756,-512,-376,-34,20,569,-774,-534,-368,-62,-61,507,-747,-530,-372,-89,-87,484,-709,-552,-371,-41,-35,509,-758,-533,-376,-55,-57,457,-708,-560,-371,-48,-46,456,-720,-582,-372,-18,-27,448,-712,-591,-372,28,32,485,-718,-513,-371,-6,9,450,-702,-532,-372,-8,-8,499,-739,-537,-371,-24,1,484,-714,-563,-372,-14,56,507,-716,-525,-374,-52,12,481,-726,-574,-372,-54,29,507,-698,-509,-371,-55,-8,fall
-427,-451,-180,-368,115,722,-2736,-1091,-3232,-369,252,3276,-2178,-612,-552,-369,-250,3276,1094,-302,-692,-368,1090,418,1682,-390,-727,-369,-1729,-632,1304,-793,-748,-371,-124,138,630,220,-1257,-369,11,744,540,-362,-843,-369,169,-638,139,-380,-713,-368,471,-187,193,-384,-632,-366,164,85,71,-468,-542,-368,155,103,226,-568,-726,-369,94,-36,246,-528,-808,-368,53,33,320,-514,-610,-369,-157,-28,304,-490,-633,-368,-66,-30,272,-502,-773,-366,-64,-107,234,-446,-722,-366,-47,-51,312,-469,-675,-374,-21,-17,238,-454,-690,-369,32,-8,289,-494,-689,-368,34,-5,264,-500,-681,-369,27,28,284,-500,-735,-368,-46,-121,286,-515,-738,-369,-39,-167,233,-447,-705,-368,0,-6,220,-488,-682,-369,-36,7,192,-475,-702,-368,0,57,224,-512,-700,-366,7,-8,251,-489,-706,-368,-21,-8,247,-498,-706,-366,-23,-10,224,-494,-738,-371,30,-6,fall
-3276,-258,398,-368,-380,1131,-838,-462,778,-368,60,1665,-456,-2,581,-366,-327,1157,-738,-14,-131,-371,162,2305,-368,-40,-649,-366,306,3254,249,-501,-2791,-364,42,254,2492,-670,-1424,-369,-821,-421,461,-203,-322,-366,496,218,170,-233,-487,-368,189,302,-62,-512,-1146,-366,59,-239,254,-458,-1032,-364,-68,-140,44,-382,-600,-366,-83,64,98,-342,-608,-368,-236,-30,42,-372,-813,-369,-254,-33,93,-324,-820,-368,-79,42,58,-303,-724,-368,30,2,54,-264,-713,-366,-91,-45,77,-308,-777,-364,-35,-14,70,-290,-786,-369,-3,-1,98,-282,-737,-368,-53,-9,28,-293,-752,-366,-1,-32,136,-305,-787,-368,-45,-26,75,-268,-742,-366,-41,-26,82,-281,-786,-368,-38,-21,78,-270,-784,-366,-16,-5,56,-265,-771,-368,-9,-7,70,-246,-739,-366,-5,-7,86,-280,-757,-368,-13,-11,75,-276,-747,-366,-2,-31,83,-282,-748,-366,-36,0,fall
-1036,-748,-1199,-361,280,3052,-3276,-1202,-600,-360,-866,2971,-1163,-484,-73,-361,-113,3276,534,-100,-296,-360,1390,1069,811,92,-1080,-363,-577,-335,1828,-1486,-963,-361,-647,-122,924,-722,-903,-363,651,1241,401,-530,-794,-364,102,102,763,-961,-710,-363,25,-81,367,-688,-605,-364,194,-30,246,-754,-426,-363,98,86,460,-897,-482,-364,145,139,400,-843,-520,-366,60,46,408,-909,-470,-360,-26,51,373,-855,-427,-364,27,66,464,-899,-434,-363,-33,43,472,-878,-522,-361,-44,-24,473,-866,-453,-363,-44,-35,426,-838,-451,-361,-73,-5,433,-865,-473,-363,-54,7,464,-868,-497,-364,-32,15,482,-829,-462,-363,-5,8,462,-838,-450,-361,-22,-3,464,-856,-481,-363,-11,-20,450,-848,-478,-364,-28,13,448,-846,-481,-360,-38,-4,468,-840,-446,-364,-36,31,469,-831,-467,-363,-18,-5,458,-846,-514,-364,-27,-37,435,-857,-514,-363,-69,12,fall
-2506,-904,-676,-360,-699,3276,1117,0,-1006,-361,-16,-48,-287,-214,-454,-363,266,-197,539,-302,-680,-358,12,-163,582,-478,-1028,-363,-263,388,29,-538,-1006,-361,267,89,-1,-424,-888,-358,13,12,-58,-408,-731,-356,-80,58,-88,-329,-687,-360,-52,95,19,-385,-746,-360,8,-109,29,-376,-735,-361,19,119,-26,-380,-795,-356,7,31,32,-396,-726,-358,-66,15,48,-388,-780,-363,-51,28,28,-357,-728,-358,-19,8,25,-365,-764,-360,-30,2,-2,-388,-714,-358,-24,-27,60,-397,-718,-360,-59,-40,14,-364,-775,-358,-6,-27,-23,-357,-786,-360,-5,-31,-14,-368,-719,-358,-44,-10,24,-380,-710,-360,-17,-2,38,-375,-755,-358,-25,-23,4,-339,-747,-360,-14,-24,-25,-381,-731,-361,-56,-1,56,-362,-721,-360,-61,0,26,-373,-776,-358,-45,31,36,-368,-736,-361,-34,-27,-6,-347,-732,-360,-14,-18,16,-357,-758,-358,-34,-18,fall
